"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","종로구","명륜2가","142","2","성균관로","17","0","","","199769.8053","453862.5555"
"서울특별시","종로구","명륜1가","90","1","성균관로","38","12","","","199775.3088","454081.9015"
"서울특별시","종로구","와룡동","2","71","율곡로","99","0","창덕궁","","199317.4261","453771.5056"
"서울특별시","종로구","행촌동","210","147","통일로12길","80","0","","","196642.2202","452921.7817"
"서울특별시","종로구","행촌동","210","654","통일로12길","30","25","","","196575.3467","452710.5971"
"서울특별시","종로구","충신동","1","446","충신4길","17","14","","","200688.3064","452949.1295"
"서울특별시","종로구","행촌동","210","101","통일로12길","74","2","","","196646.3227","452892.2937"
"서울특별시","종로구","행촌동","209","64","통일로12길","24","16","","","196552.6483","452642.9462"
"서울특별시","종로구","충신동","1","406","충신4나길","19","2","","","200685.1336","453005.4102"
"서울특별시","종로구","평창동","234","45","평창10길","7","13","","","197184.8894","456192.3481"
"서울특별시","종로구","충신동","1","282","충신4길","1","0","","","200656.0429","452855.7053"
"서울특별시","종로구","평창동","358","1","평창11길","33","0","","","196972.5018","456528.6549"
"서울특별시","종로구","평창동","234","50","평창10길","7","7","","","197159.8547","456184.6458"
"서울특별시","종로구","행촌동","209","41","통일로12길","16","17","","","196550.3529","452616.5749"
"서울특별시","종로구","무악동","46","17","통일로12가길","8","2","","","196430.0188","452655.2352"
"서울특별시","종로구","평창동","344","5","평창11길","19","3","요진쉐레이빌라","8동","196918.8944","456328.1207"
"서울특별시","종로구","팔판동","27","0","팔판길","40","24","","","198368.5143","453766.7572"
"서울특별시","종로구","창신동","128","14","지봉로11길","2","0","","","201348.6438","453029.7799"
"서울특별시","종로구","숭인동","61","77","지봉로10길","10","1","","","201435.9199","452954.9481"
"서울특별시","종로구","숭인동","68","42","종로63길","49","0","","","201553.1719","452833.719"
"서울특별시","종로구","숭인동","178","35","종로63가길","24","4","","","201698.0752","452872.4115"
"서울특별시","종로구","숭인동","61","90","지봉로10길","6","4","","","201412.714","452934.4509"
"서울특별시","종로구","숭인동","181","49","종로65길","40","5","","","201772.6728","452979.8043"
"서울특별시","종로구","구기동","132","8","진흥로21길","13","0","힐탑빌라","","196308.2452","456582.1588"
"서울특별시","종로구","창신동","43","0","지봉로7길","27","0","","","201339.7472","452896.963"
"서울특별시","종로구","숭인동","57","24","지봉로12나길","14","9","","","201526.5386","453144.2665"
"서울특별시","종로구","창신동","23","386","지봉로13길","75","3","","","201136.6526","453080.0901"
"서울특별시","종로구","창신동","64","0","지봉로7길","19","0","","","201335.4059","452855.8543"
"서울특별시","종로구","숭인동","30","2","지봉로12길","93","1","","","201537.2435","453336.1551"
"서울특별시","종로구","창신동","23","358","지봉로13길","48","0","폐기물 중간 처리장","","201083.192","453201.2524"
"서울특별시","종로구","숭인동","60","11","지봉로8길","38","0","","","201461.1112","452990.851"
"서울특별시","종로구","창성동","144","0","자하문로12길","11","5","","","197518.5755","453386.2617"
"서울특별시","종로구","통의동","91","19","자하문로10길","16","0","비스플라자","","197557.0633","453296.1016"
"서울특별시","종로구","평창동","541","6","평창길","137","2","","","196953.8401","457133.8416"
"서울특별시","종로구","평창동","296","29","평창길","25","2","","","196723.6878","456301.1098"
"서울특별시","종로구","누하동","131","0","필운대로5가길","7","0","","","197203.4912","453347.061"
"서울특별시","종로구","경운동","47","1","인사동4길","17","0","","","198846.1965","452680.9595"
"서울특별시","종로구","관훈동","118","33","인사동16길","3","5","","","198573.494","452853.0752"
"서울특별시","종로구","통인동","58","0","자하문로11길","29","0","","","197353.0413","453396.3045"
"서울특별시","종로구","창성동","131","0","자하문로10길","7","0","","","197517.0671","453337.3256"
"서울특별시","종로구","인사동","8","8","인사동4길","5","24","","","198818.8464","452646.9483"
"서울특별시","종로구","관훈동","79","0","인사동14길","12","0","","","198654.0203","452797.1354"
"서울특별시","종로구","창성동","105","1","자하문로12길","12","38","","","197559.5412","453383.2784"
