"sido","sigun","dong","구주소본번","구주소부번","street","새주소본번","새주소부번","건물명","상세건물명","X좌표","Y좌표"
"서울특별시","중랑구","상봉동","130","103","중랑천로12길","45","0","지앤지타운","","206653.9495","454823.7514"
"서울특별시","중랑구","상봉동","136","62","중랑천로12길","22","6","","","206547.6262","454750.0246"
"서울특별시","중랑구","상봉동","130","84","중랑천로10길","39","9","","","206628.7351","454773.7708"
"서울특별시","중랑구","묵동","233","37","중랑역로47길","22","11"," "," ","206575.0655","457344.0803"
"서울특별시","중랑구","묵동","235","40","중랑역로47길","17","10","","","206533.1707","457254.2688"
"서울특별시","중랑구","중화동","319","5","중랑역로3나길","46","11","","","206519.623","455270.9799"
"서울특별시","중랑구","중화동","322","14","중랑역로3나길","43","0","","","206498.3242","455207.5201"
"서울특별시","중랑구","중화동","321","19","중랑역로3가길","19","0","새롬힐링","","206618.564","455128.234"
"서울특별시","중랑구","면목동","91","73","봉우재로36길","4","0","","","207769.1254","454800.954"
"서울특별시","중랑구","면목동","137","54","봉우재로32길","52","0","","","207427.3549","454575.6024"
"서울특별시","중랑구","중화동","331","149","봉화산로3길","25","5","","","206664.7866","455896.4121"
"서울특별시","중랑구","중화동","311","58","봉화산로3길","14","0","대호목욕탕"," ","206716.5011","455850.765"
"서울특별시","중랑구","상봉동","315","44","봉화산로30길","103","11","","","207552.9228","455375.5258"
"서울특별시","중랑구","중화동","327","64","봉화산로2길","65","2","","","206519.5448","455463.8883"
"서울특별시","중랑구","중화동","28","11","봉화산로27다길","9","4","","","207294.5111","455921.9672"
"서울특별시","중랑구","중화동","148","140","봉화산로26길","44","12","중화아트빌","","207338.3019","455603.5535"
"서울특별시","중랑구","중화동","148","81","봉화산로24길","23","0","","","207321.9942","455688.6023"
"서울특별시","중랑구","중화동","331","68","봉화산로1길","26","0","","","206614.1119","455902.6112"
"서울특별시","중랑구","중화동","312","62","봉화산로10길","7","0","","","206824.4129","455732.9761"
"서울특별시","중랑구","망우동","462","33","봉우재로71길","33","0","","","208667.3968","455191.3255"
"서울특별시","중랑구","망우동","531","31","봉우재로70길","101","0","","","208569.3818","454623.6735"
"서울특별시","중랑구","망우동","462","2","봉우재로69길","15","0","경수빌라","","208695.8718","455175.1191"
"서울특별시","중랑구","면목동","99","4","상봉로15나길","24","1","","","208121.906","454583.8765"
"서울특별시","중랑구","면목동","86","10","상봉로15나길","15","0","","","208147.2702","454621.1067"
"서울특별시","중랑구","망우동","523","43","상봉로14길","19","0","","","208288.8688","454636.3739"
"서울특별시","중랑구","면목동","509","25","사가정로71길","54","0","","","208553.27","453511.3724"
"서울특별시","중랑구","면목동","617","6","사가정로54길","22","0","성민교회","","207811.5868","453367.896"
"서울특별시","중랑구","면목동","649","18","사가정로50길","13","0","","","207637.789","453410.2333"
"서울특별시","중랑구","면목동","655","16","사가정로46길","37","35","","","207525.3424","453260.4327"
"서울특별시","중랑구","면목동","592","4","사가정로45길","29","0","","","207533.616","453650.3346"
"서울특별시","중랑구","면목동","1508","3","사가정로41길","45","0","면목3치안센터","","207433.1303","453742.4073"
"서울특별시","중랑구","중화동","309","56","봉화산로3길","48","0","","","206687.1568","456025.5804"
"서울특별시","중랑구","중화동","11","1","봉화산로33길","33","6","중화파크빌","","207495.6361","455974.8299"
"서울특별시","중랑구","상봉동","304","2","봉화산로30길","59","0","세리부다세대주택","에이동","207528.6135","455553.6784"
"서울특별시","중랑구","중화동","330","100","봉화산로2길","34","5","대광맨션","B동","206587.2879","455611.9036"
"서울특별시","중랑구","신내동","259","0","신내역로3길","56","0"," ","주건축물제2동","209270.6815","457535.9584"
"서울특별시","중랑구","신내동","58","4","신내역로1가길","19","0"," "," ","209417.3698","457091.2301"
"서울특별시","중랑구","상봉동","103","1","면목로92길","34","0","","","207762.79","455097.7639"
"서울특별시","중랑구","상봉동","113","33","면목로91길","6","18","金塘Ⅱ 오피스텔","","207516.0976","455070.1557"
"서울특별시","중랑구","상봉동","109","58","면목로85길","11","0","","","207548.6268","454826.5503"
"서울특별시","중랑구","면목동","97","31","면목로80길","24","0","","","207812.0491","454551.6668"
"서울특별시","중랑구","면목동","98","16","면목로78길","40","8","","","207899.5989","454520.0235"
"서울특별시","중랑구","면목동","102","41","면목로74길","34","0","","","207891.1602","454424.9043"
"서울특별시","중랑구","면목동","502","24","면목로57길","12","0","영우오렌지하우스","","207751.3878","453920.5555"
"서울특별시","중랑구","면목동","430","15","면목로56길","44","0","동부꿈나무미술학원","","208023.8008","453813.7782"
"서울특별시","중랑구","면목동","412","9","면목로56가길","21","0","한터어린이집","","207844.4786","453953.0972"
"서울특별시","중랑구","면목동","558","11","면목로55길","72","0","","","207443.7277","453896.5012"
"서울특별시","중랑구","면목동","499","10","면목로55길","13","6","","","207722.4516","453824.4213"
"서울특별시","중랑구","면목동","430","38","면목로54길","37","0","","","207996.8902","453771.2362"
"서울특별시","중랑구","면목동","428","50","면목로54길","21","0","","","207919.6207","453780.8098"
"서울특별시","중랑구","중화동","25","23","동일로136나길","25","0","중화동다세대주택","","207247.7396","455965.4494"
"서울특별시","중랑구","중화동","148","126","동일로130길","52","0","건형빌딩","","207325.8661","455626.3441"
"서울특별시","중랑구","상봉동","314","44","동일로126나길","23","0","","","207473.4386","455367.8096"
"서울특별시","중랑구","중화동","293","8","동일로126길","13","4","","","207151.9706","455500.8263"
"서울특별시","중랑구","중화동","329","92","동일로123길","104","18","","","206657.2313","455612.0143"
"서울특별시","중랑구","중화동","301","56","동일로123길","16","0","","","206989.8928","455351.4069"
"서울특별시","중랑구","상봉동","333","7","동일로120길","59","36","","","207402.5553","455276.0505"
"서울특별시","중랑구","상봉동","126","38","동일로114길","6","3","","","207134.9901","454827.4735"
"서울특별시","중랑구","면목동","185","17","동일로109길","62","20","","","206750.0398","454735.768"
"서울특별시","중랑구","면목동","143","66","동일로102길","13","0","제니스빌8차"," ","207175.2073","454467.959"
"서울특별시","중랑구","면목동","142","56","동일로100길","47","3","","","207233.7004","454449.5183"
"서울특별시","중랑구","묵동","128","45","동일로146길","55","0","","","207201.214","456398.6867"
"서울특별시","중랑구","묵동","248","55","동일로143길","76","0","","","206568.2332","456153.9135"
"서울특별시","중랑구","중화동","282","7","동일로140길","19","27","","","207049.2538","456182.356"
"서울특별시","중랑구","면목동","166","1","사가정로39길","11","0","영명슈퍼","","207358.3636","453580.7639"
"서울특별시","중랑구","면목동","158","40","사가정로37길","61","0","","","207230.9801","453845.6592"
"서울특별시","중랑구","중화동","311","30","봉화산로7길","7","6","","","206748.4669","455834.564"
"서울특별시","중랑구","신내동","409","4","봉화산로54길","32","0","","","208631.7558","456315.8161"
"서울특별시","중랑구","중화동","329","10","봉화산로4길","10","0","","","206711.5291","455721.8244"
"서울특별시","중랑구","상봉동","1","0","봉화산로48길","62","0","건영아파트","상가동","208278.0895","456142.7313"
"서울특별시","중랑구","묵동","242","67","봉화산로3길","145","0","","","206594.4623","456504.101"
"서울특별시","중랑구","면목동","66","51","상봉로1길","43","4","","","208129.9694","454068.2959"
"서울특별시","중랑구","망우동","521","29","상봉로18길","28","0","","","208393.7052","454810.9741"
"서울특별시","중랑구","망우동","522","26","상봉로16길","9","9","","","208299.1714","454785.8578"
"서울특별시","중랑구","망우동","437","17","용마산로96나길","3","0","","","208771.9268","454519.1576"
"서울특별시","중랑구","망우동","432","7","용마산로96길","55","36","","","208934.0399","454554.045"
"서울특별시","중랑구","망우동","437","14","용마산로96길","21","20","","","208766.4405","454601.7219"
"서울특별시","중랑구","망우동","441","16","용마산로96길","21","3","","","208719.6719","454539.9416"
"서울특별시","중랑구","면목동","31","48","용마산로94길","84","0","","","208930.4371","454239.774"
"서울특별시","중랑구","면목동","1","13","용마산로94길","55","22","","","208853.7085","454371.7652"
"서울특별시","중랑구","면목동","46","8","용마산로94길","31","11","","","208726.3739","454413.2228"
"서울특별시","중랑구","면목동","46","21","용마산로94길","27","32","","","208736.138","454462.6025"
"서울특별시","중랑구","면목동","15","36","용마산로94길","9","16","면목동다세대주택","","208654.066","454476.4756"
"서울특별시","중랑구","면목동","42","17","용마산로93길","29","0","","","208406.7364","454418.4525"
"서울특별시","중랑구","면목동","51","7","용마산로86길","9","0","장미슈퍼","","208468.3111","454101.1461"
"서울특별시","중랑구","면목동","65","5","용마산로81길","32","0","","","208181.5852","453984.8074"
"서울특별시","중랑구","면목동","63","69","용마산로79길","9","0","","","208204.2513","453912.0984"
"서울특별시","중랑구","면목동","46","46","용마산로94길","21","16","","","208700.2386","454446.5571"
"서울특별시","중랑구","상봉동","257","22","상봉중앙로6나길","15","5","","","207845.0607","455666.4932"
"서울특별시","중랑구","상봉동","257","52","상봉중앙로6가길","1","0","","","207810.0205","455696.5424"
"서울특별시","중랑구","중화동","131","19","상봉중앙로5길","31","0","도원아트빌","","207574.6234","455641.0039"
"서울특별시","중랑구","상봉동","207","21","상봉중앙로5길","20","0"," "," ","207620.599","455657.4392"
"서울특별시","중랑구","상봉동","190","41","상봉중앙로1길","26","0","","","207732.6614","455490.2894"
"서울특별시","중랑구","면목동","71","49","상봉로5길","6","9","","","208280.8104","454235.467"
"서울특별시","중랑구","망우동","516","6","상봉로26길","16","0","","","208303.9212","455097.2753"
"서울특별시","중랑구","상봉동","88","5","상봉로25가길","15","0","","","208020.856","455098.8887"
"서울특별시","중랑구","면목동","1380","0","용마산로45길","24","0","","","207700.2596","452771.7692"
"서울특별시","중랑구","신내동","56","0","용마산로139나길","57","3","","","209084.1497","457629.1031"
"서울특별시","중랑구","망우동","314","4","용마산로136길","62","0","","","209226.2296","456901.4562"
"서울특별시","중랑구","신내동","391","5","용마산로129길","13","0","","","208846.9922","456429.1642"
"서울특별시","중랑구","망우동","357","22","용마산로120길","4","1","","","208910.3954","455768.6596"
"서울특별시","중랑구","망우동","136","27","용마산로118길","133","0","","","209537.128","455733.7114"
"서울특별시","중랑구","신내동","494","101","용마산로117가길","12","0","진산하이츠빌라","","208665.5891","455665.6665"
"서울특별시","중랑구","망우동","493","17","용마산로115가길","40","0","","","208576.4778","455292.9066"
"서울특별시","중랑구","망우동","396","35","용마산로112나길","22","0","","","208951.2029","455287.2393"
"서울특별시","중랑구","망우동","459","16","용마산로105길","18","7","","","208653.6499","455002.4168"
